Day,Date,Rank,Gross,% ,+/-,YD,Theaters,Gross-to-Date,Day #,MovieName,Image
Fri,2010-05-07,1,"$51,239,677",-,-,"4,380","$11,699","$51,239,677",1,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Sat,2010-05-08,1,"$45,776,170",-10.7%,-,"4,380","$10,451","$97,015,847",2,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Sun,2010-05-09,1,"$31,106,633",-32.0%,-,"4,380","$7,102","$128,122,480",3,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Mon,2010-05-10,1,"$9,366,982",-69.9%,-,"4,380","$2,139","$137,489,462",4,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Tue,2010-05-11,1,"$8,380,235",-10.5%,-,"4,380","$1,913","$145,869,697",5,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Wed,2010-05-12,1,"$6,951,326",-17.1%,-,"4,380","$1,587","$152,821,023",6,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Thu,2010-05-13,1,"$6,338,848",-8.8%,-,"4,380","$1,447","$159,159,871",7,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Fri,2010-05-14,1,"$15,120,949",+138.5%,-70.5%,"4,390","$3,444","$174,280,820",8,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Sat,2010-05-15,1,"$22,642,564",+49.7%,-50.5%,"4,390","$5,158","$196,923,384",9,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Sun,2010-05-16,1,"$14,277,492",-36.9%,-54.1%,"4,390","$3,252","$211,200,876",10,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Mon,2010-05-17,1,"$3,715,485",-74.0%,-60.3%,"4,390",$846,"$214,916,361",11,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Tue,2010-05-18,1,"$3,565,064",-4.0%,-57.5%,"4,390",$812,"$218,481,425",12,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Wed,2010-05-19,1,"$3,145,551",-11.8%,-54.7%,"4,390",$717,"$221,626,976",13,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Thu,2010-05-20,1,"$3,037,827",-3.4%,-52.1%,"4,390",$692,"$224,664,803",14,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Fri,2010-05-21,2,"$7,549,509",+148.5%,-50.1%,"4,177","$1,807","$232,214,312",15,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Sat,2010-05-22,2,"$11,505,392",+52.4%,-49.2%,"4,177","$2,754","$243,719,704",16,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Sun,2010-05-23,2,"$7,306,357",-36.5%,-48.8%,"4,177","$1,749","$251,026,061",17,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Mon,2010-05-24,2,"$2,215,378",-69.7%,-40.4%,"4,177",$530,"$253,241,439",18,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Tue,2010-05-25,2,"$1,810,492",-18.3%,-49.2%,"4,177",$433,"$255,051,931",19,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Wed,2010-05-26,2,"$1,684,755",-6.9%,-46.4%,"4,177",$403,"$256,736,686",20,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Thu,2010-05-27,3,"$1,840,224",+9.2%,-39.4%,"4,177",$441,"$258,576,910",21,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Fri,2010-05-28,4,"$4,440,472",+141.3%,-41.2%,"3,804","$1,167","$263,017,382",22,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Sat,2010-05-29,4,"$6,165,974",+38.9%,-46.4%,"3,804","$1,621","$269,183,356",23,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
Sun,2010-05-30,4,"$5,852,544",-5.1%,-19.9%,"3,804","$1,539","$275,035,900",24,Iron Man 2,https://i.annihil.us/u/prod/marvel/i/mg/8/60/521f703f2ab1a/portrait_incredible.jpg
